GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
5S_rRNA,3.4,3.4,3.5,3.1,3.9,4.5,2.9,2.3,2.5,3.6,3.7,3.0
7SK,2.5,1.6,0.8,1.8,1.7,2.6,2.6,1.6,3.0,0.6,2.5,1.6
A1BG,7.0,7.2,7.5,6.8,7.5,7.3,6.8,6.8,6.5,6.9,7.0,6.5
A1BG-AS1,7.3,7.3,6.9,7.3,6.8,6.7,7.0,7.1,7.1,6.9,7.0,7.1
A1CF,1.5,3.0,2.5,3.7,3.3,4.1,2.7,2.3,3.0,1.6,2.1,2.7
A2M,0.5,2.8,1.2,2.9,0.1,0.7,2.7,0.4,0.4,2.1,1.3,2.8
A2M-AS1,2.6,3.2,2.9,3.6,3.1,3.3,3.8,3.5,3.4,2.1,2.7,1.9
A2ML1,5.5,5.1,5.4,5.1,5.6,5.8,4.9,5.1,5.3,5.4,5.8,5.5
A2ML1-AS1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,1.4,-0.2,0.9,-0.5
A2ML1-AS2,0.1,1.3,0.0,-0.1,0.1,0.0,0.3,0.4,2.1,-0.2,-0.1,0.8
A2MP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
A3GALT2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,0.5
A4GALT,9.2,9.0,9.0,8.5,8.5,8.3,8.0,7.8,7.9,7.7,7.6,7.9
A4GNT,0.1,-0.3,0.9,-0.1,0.1,0.0,0.3,1.3,0.4,-0.2,-0.1,-0.5
AA06,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AAAS,10.8,10.7,10.7,10.7,10.5,10.6,11.0,10.7,10.5,10.5,10.4,10.6
AACS,9.7,9.4,9.7,10.0,10.0,10.0,10.0,9.9,9.9,10.1,10.2,10.0
AACSP1,3.3,2.7,2.8,1.9,2.9,3.7,3.7,1.5,2.5,3.0,1.7,2.3
AADAC,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,0.9,-0.5
AADACL2,1.0,1.1,2.0,1.3,1.3,1.6,1.4,1.8,1.7,1.7,1.2,0.9
AADACL2-AS1,0.1,2.0,0.0,-0.1,0.1,0.1,0.4,1.5,0.4,-0.2,1.8,1.8
AADACL3,0.1,1.9,1.9,1.8,1.1,1.7,1.9,1.9,2.4,0.8,1.5,1.9
AADACL4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AADACP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,-0.5
AADAT,2.9,2.6,3.7,3.0,3.6,3.1,2.3,3.1,3.5,3.3,3.5,3.8
AAED1,8.9,8.7,8.8,8.6,8.7,8.7,9.0,9.1,9.2,9.1,9.1,9.0
AAGAB,12.2,12.3,12.3,12.0,12.4,12.4,12.1,12.4,12.2,12.2,12.3,12.3
AAK1,9.1,9.2,9.0,9.0,8.8,8.7,9.4,9.5,9.6,9.2,9.4,9.7
AAMDC,9.1,9.0,9.2,8.9,9.2,9.2,8.3,8.6,8.4,8.3,8.2,8.3
AAMP,12.3,12.0,12.0,12.0,12.5,12.5,11.8,12.0,11.9,12.0,11.9,12.0
AANAT,2.4,2.8,3.5,1.6,3.0,2.1,1.7,1.4,2.6,1.0,0.8,1.8
AAR2,10.6,10.6,10.6,10.6,10.6,10.4,10.5,10.4,10.3,10.4,10.5,10.4
AARD,2.9,3.5,4.6,3.0,3.6,2.8,4.4,3.0,2.1,3.0,2.3,3.6
AARS,13.7,13.7,13.7,13.6,13.8,13.8,14.6,14.5,14.5,14.6,14.6,14.6
AARS2,10.1,10.0,9.9,10.0,10.2,10.2,10.1,10.0,10.1,10.0,9.9,10.1
AARSD1,9.7,9.6,9.7,9.7,9.9,9.9,9.9,9.8,9.8,9.7,9.7,9.8
AARSP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AASDH,10.2,10.2,10.2,10.3,10.5,10.6,10.3,10.5,10.5,10.3,10.4,10.5
AASDHPPT,12.3,12.3,12.4,12.5,12.6,12.8,12.3,12.3,12.4,12.3,12.3,12.3
AASS,8.2,8.1,8.3,10.1,10.3,10.3,8.6,8.5,8.6,9.3,9.3,9.4
AATBC,5.2,3.8,5.6,5.6,5.0,3.4,3.4,3.3,4.1,5.1,3.9,4.1
AATF,11.4,11.5,11.5,11.4,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
AATK,6.0,5.6,5.4,6.6,6.1,5.7,5.4,5.5,5.8,5.6,5.4,5.8
AATK-AS1,2.6,1.9,0.9,-0.1,1.1,1.7,0.3,0.4,0.4,-0.2,-0.1,-0.5
AB015752.1,1.0,-0.3,0.9,0.9,0.1,0.0,0.3,1.4,1.4,0.8,0.9,0.6
AB019440.1,4.0,4.1,2.5,2.5,3.7,3.8,3.2,3.4,3.3,4.0,3.7,3.2
ABALON,7.5,7.4,7.6,8.0,8.3,8.3,7.2,7.2,7.3,7.8,7.9,8.2
ABAT,11.0,11.0,11.1,10.8,10.7,10.6,11.1,11.1,11.0,10.8,10.8,10.8
ABBA01006766.1,1.0,-0.3,1.7,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABBA01006766.2,1.0,-0.3,0.0,0.9,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABBA01040607.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABC7-43041300I9.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,2.5,0.4,-0.2,2.8,-0.5
ABCA1,7.4,7.3,7.2,7.9,7.5,7.4,8.1,8.8,8.2,8.2,8.7,8.7
ABCA10,5.2,5.9,4.4,5.2,4.8,3.1,4.3,5.0,4.6,4.5,3.8,4.5
ABCA11P,7.2,7.2,6.8,7.0,7.2,7.3,7.3,7.2,7.4,7.2,7.0,7.2
ABCA12,12.5,12.8,12.7,12.7,12.7,12.8,13.2,13.1,13.1,13.3,13.2,13.1
ABCA13,5.0,4.8,4.7,4.5,3.8,4.0,4.4,4.1,4.7,4.7,4.4,4.2
ABCA17P,6.4,6.5,6.3,5.9,5.7,5.8,5.7,5.3,6.3,5.1,5.7,6.3
ABCA2,12.0,11.7,11.5,11.6,11.2,10.8,12.2,11.6,12.0,11.7,11.8,11.7
ABCA3,11.8,11.9,11.9,11.9,11.4,11.2,12.0,11.8,11.8,11.8,11.8,11.6
ABCA4,6.2,6.5,6.2,5.6,5.6,5.7,6.9,5.8,7.3,7.4,6.1,5.6
ABCA5,11.0,11.0,11.2,11.1,11.3,11.5,11.6,11.7,11.7,11.6,11.6,11.8
ABCA6,5.0,4.9,4.9,5.2,4.9,4.8,5.0,4.6,5.4,6.4,5.1,5.7
ABCA7,8.9,9.1,9.1,9.2,8.9,8.6,9.3,9.6,9.3,9.5,9.2,9.2
ABCA8,1.5,3.1,2.7,3.3,3.1,4.0,3.8,2.9,2.8,2.8,3.0,3.0
ABCA9,6.0,5.7,6.1,6.2,6.6,6.0,6.1,5.8,6.1,5.4,6.1,6.2
ABCA9-AS1,0.1,-0.3,1.5,1.5,1.8,1.3,1.3,0.5,0.4,1.6,1.0,2.2
ABCB1,2.8,-0.3,0.0,1.1,0.1,0.0,0.6,0.5,1.1,1.3,0.6,0.5
ABCB10,9.7,9.5,9.4,9.6,9.7,9.7,9.2,9.5,9.4,9.5,9.5,9.4
ABCB10P1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCB10P3,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCB10P4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCB11,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,0.9,-0.5
ABCB4,6.2,6.6,5.9,5.3,5.7,6.4,5.7,5.8,5.9,6.2,6.1,5.9
ABCB5,4.1,3.4,3.2,2.1,1.6,3.4,3.6,2.8,3.0,3.4,3.0,2.4
ABCB6,10.0,10.1,9.9,9.8,10.0,10.1,9.9,9.7,10.0,9.7,9.7,9.8
ABCB7,10.1,10.1,10.1,9.8,10.1,10.3,9.8,10.0,10.0,9.9,9.9,10.1
ABCB8,8.8,8.8,8.6,8.8,8.8,8.5,9.1,8.9,8.7,9.1,8.9,8.9
ABCB9,8.8,8.9,8.6,8.8,8.2,8.1,8.9,8.6,8.8,8.8,8.8,8.7
ABCC1,8.9,8.9,8.9,9.5,9.1,9.1,9.1,8.9,9.1,9.1,9.1,9.1
ABCC10,8.4,8.4,8.3,8.5,8.6,7.7,9.0,8.5,8.8,8.5,8.7,8.3
ABCC11,10.9,10.6,10.7,11.2,11.4,11.4,11.5,11.6,11.5,11.8,11.8,11.9
ABCC12,5.1,4.9,5.3,6.3,6.1,5.2,5.0,5.1,5.6,5.1,4.8,5.3
ABCC13,10.0,10.0,9.9,9.4,9.4,9.5,9.1,9.3,9.3,8.9,9.1,9.0
ABCC2,5.8,5.2,6.8,5.9,6.2,6.6,6.5,4.6,6.9,4.5,4.7,5.0
ABCC3,6.4,6.4,6.7,6.5,6.4,6.0,7.4,7.2,6.8,6.5,6.7,6.6
ABCC4,4.4,1.0,3.7,3.2,4.2,2.3,1.9,2.0,3.5,4.3,3.6,2.6
ABCC5,12.4,12.6,12.4,13.4,13.5,13.7,12.9,12.8,12.9,13.6,13.7,13.7
ABCC5-AS1,3.9,4.6,3.5,4.5,4.6,4.2,4.1,3.5,3.6,5.0,5.2,4.9
ABCC6,9.4,9.3,9.4,9.3,9.0,9.3,9.4,9.2,9.3,8.8,9.1,8.9
ABCC6P1,9.2,9.3,9.2,8.8,8.7,8.6,9.5,9.3,9.2,9.0,8.9,8.9
ABCC6P2,6.9,6.7,6.9,6.4,6.6,6.5,6.5,6.5,6.7,6.4,6.4,6.0
ABCC8,3.4,2.9,3.5,7.3,6.9,6.7,3.2,2.6,1.8,6.0,4.8,5.6
ABCC9,7.8,7.8,7.8,8.1,7.8,7.9,7.3,7.4,7.3,7.3,7.0,7.4
ABCD1,8.6,8.8,8.6,8.5,8.0,7.7,8.5,8.3,8.4,8.6,8.4,8.3
ABCD1P2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCD1P3,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCD1P4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCD1P5,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCD2,0.1,0.7,0.0,0.8,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,0.5
ABCD3,11.8,11.8,11.8,12.4,12.8,12.9,11.7,11.8,11.8,12.2,12.2,12.3
ABCD4,9.0,8.9,8.6,8.8,9.0,8.9,9.0,8.9,9.0,8.8,8.8,8.8
ABCE1,12.8,12.8,12.8,12.8,12.9,12.9,12.6,12.7,12.8,12.8,12.9,12.8
ABCF1,11.9,12.0,12.0,11.9,11.8,12.0,11.9,11.8,11.9,11.8,11.8,11.8
ABCF2,11.4,11.5,11.5,11.4,11.4,11.5,11.3,11.4,11.2,11.3,11.3,11.3
ABCF2P1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCF2P2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABCF3,12.1,12.2,12.3,12.1,12.2,12.3,12.2,12.1,12.2,12.1,12.1,12.1
ABCG1,8.9,8.9,8.9,8.2,8.4,8.7,9.8,9.6,9.6,9.6,9.6,9.7
ABCG2,3.6,4.0,4.9,3.5,3.3,4.2,3.5,3.4,3.3,4.5,3.5,3.2
ABCG4,2.7,2.7,3.1,3.0,3.3,0.9,2.3,2.6,0.4,2.4,0.9,2.3
ABCG5,2.6,3.3,3.1,2.4,3.5,2.4,2.4,0.5,2.4,2.5,2.1,1.8
ABCG8,0.1,-0.3,0.0,0.9,1.6,1.1,1.3,0.4,0.4,-0.2,-0.1,-0.5
ABHD1,6.6,6.4,6.4,6.4,6.2,6.0,6.9,5.9,5.9,6.4,6.5,6.1
ABHD10,11.6,11.7,11.6,11.5,11.8,11.9,11.6,11.8,11.7,11.6,11.7,11.7
ABHD11,10.4,10.3,10.4,10.1,10.0,9.9,10.6,10.6,10.4,10.3,10.3,10.2
ABHD11-AS1,4.5,4.5,4.5,5.2,4.6,4.7,4.5,4.8,5.5,4.7,4.5,5.2
ABHD12,10.2,10.1,10.2,10.4,10.4,10.6,10.3,10.3,10.4,10.5,10.4,10.5
ABHD12B,3.9,3.2,4.1,3.5,3.8,4.7,4.3,5.0,3.8,2.9,4.0,3.5
ABHD13,10.1,10.2,10.1,10.0,10.4,10.5,9.7,9.9,9.8,9.7,9.8,10.0
ABHD14A,6.0,6.3,5.7,5.5,5.4,5.3,6.4,6.5,6.0,5.4,5.9,5.7
ABHD14A-ACY1,6.1,6.3,6.3,6.4,6.1,6.6,6.5,6.7,6.6,6.4,6.2,5.8
ABHD14B,10.3,10.5,10.4,10.4,10.1,9.8,10.7,10.5,10.6,10.5,10.5,10.4
ABHD15,8.2,8.3,8.0,7.7,7.6,7.6,7.9,7.8,7.9,7.4,7.3,7.5
ABHD15-AS1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,1.6,0.4,-0.2,-0.1,-0.5
ABHD16A,10.3,10.2,10.3,10.3,10.5,10.4,10.3,10.3,10.4,10.2,10.3,10.3
ABHD16B,1.2,1.1,0.9,1.4,1.4,1.4,2.2,1.6,1.7,1.3,1.1,1.2
ABHD17A,10.0,10.0,9.8,9.8,9.7,9.8,9.8,9.6,9.7,9.7,9.6,9.7
ABHD17AP1,1.1,1.2,0.6,0.6,1.3,0.8,1.8,1.8,1.5,1.0,0.6,0.7
ABHD17AP2,1.1,0.1,0.6,0.6,1.3,0.8,0.8,1.8,0.5,1.0,0.6,0.7
ABHD17AP3,3.4,4.0,3.2,2.7,3.5,2.8,3.2,2.6,3.7,2.8,3.9,2.0
ABHD17AP4,0.1,-0.2,0.0,0.0,0.1,0.1,0.4,0.4,0.4,-0.1,0.0,-0.5
ABHD17AP5,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,1.9,0.4,-0.2,-0.1,-0.5
ABHD17AP6,0.1,-0.1,0.0,-0.1,0.1,0.1,0.4,0.4,0.4,-0.2,-0.1,-0.5
ABHD17AP7,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABHD17AP8,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABHD17AP9,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
ABHD17B,8.7,8.1,8.2,8.1,8.4,8.7,8.3,8.4,8.4,8.3,8.3,8.5
ABHD17C,7.9,7.9,8.0,7.4,7.5,7.3,7.8,8.3,8.3,8.0,7.8,7.9
ABHD18,9.5,9.4,9.3,9.0,9.3,9.0,9.4,9.6,9.4,9.7,9.5,9.5
ABHD2,11.4,11.8,11.6,11.8,11.5,11.5,11.6,11.5,11.0,11.3,11.4,11.4
ABHD3,8.3,8.1,7.8,8.7,9.0,8.8,7.4,8.1,7.4,8.0,8.2,8.3
ABHD4,5.3,6.2,5.1,6.1,5.9,5.9,6.7,6.8,6.7,6.7,6.2,5.4
ABHD5,10.4,10.5,10.4,10.3,10.6,10.6,10.4,10.6,10.6,10.5,10.3,10.6
ABHD6,7.2,7.2,7.5,7.7,7.9,8.1,7.4,7.1,7.4,7.3,7.8,7.7
ABHD8,8.6,8.2,8.1,7.6,7.4,7.5,8.2,8.4,8.4,8.0,7.9,7.8
ABI1,11.5,11.6,11.6,11.6,11.6,11.7,11.9,11.9,11.8,11.9,11.9,11.9
ABI1P1,1.0,-0.3,0.0,-0.1,0.1,1.1,0.3,0.4,2.0,-0.2,-0.1,0.5
ABI2,10.2,10.3,10.3,10.1,10.0,10.1,10.2,10.3,10.3,10.2,10.3,9.9
ABI3,1.2,0.3,0.0,1.7,1.2,2.1,1.0,0.4,0.4,2.5,2.8,2.6
ABI3BP,5.9,5.2,5.9,6.2,5.2,5.8,6.2,5.7,5.2,5.7,4.7,5.6
ABL1,10.8,10.9,10.9,10.7,10.5,10.4,11.0,10.9,10.9,10.7,10.8,10.7
ABL2,10.3,10.3,10.2,10.3,10.1,10.3,10.1,10.2,10.5,10.3,10.3,10.2
ABLIM1,11.0,11.0,10.9,10.8,10.6,10.3,11.5,11.1,11.3,11.2,11.1,11.2
ABLIM2,0.1,-0.3,0.8,1.4,1.9,2.0,1.8,1.3,1.5,1.7,1.8,2.0
ABLIM3,6.6,6.5,6.2,9.5,9.0,9.0,8.2,8.2,8.2,9.3,9.5,9.2
ABO,6.0,6.2,6.4,6.3,6.3,6.3,6.0,5.7,6.2,5.9,5.9,5.7
ABR,10.1,10.2,10.3,9.8,9.9,9.9,10.3,10.0,10.0,10.1,10.3,9.8
ABRA,3.6,3.4,2.9,4.2,3.2,2.4,3.6,3.3,2.7,3.2,3.5,3.0
ABRACL,9.8,9.8,9.9,9.9,10.6,10.4,9.5,9.8,9.7,9.9,9.9,10.0
ABRAXAS1,9.1,9.0,9.2,9.0,9.2,9.1,9.5,9.7,9.7,9.6,9.6,9.8
ABRAXAS2,10.1,10.1,10.0,9.9,10.1,10.1,10.2,10.2,10.1,10.2,10.2,10.3
ABT1,10.7,10.7,10.6,10.5,10.8,10.7,10.5,10.5,10.5,10.5,10.5,10.6
ABT1P1,0.1,0.1,0.0,-0.1,0.1,0.0,2.0,0.4,0.4,-0.2,-0.1,0.5
ABTB1,4.2,5.2,4.8,4.2,5.0,4.3,5.5,5.0,5.8,4.8,5.2,4.5
ABTB2,8.4,8.3,8.4,8.7,8.5,8.4,8.6,8.3,8.5,9.3,9.3,9.3
AC000003.1,0.1,-0.3,0.0,0.9,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000003.2,2.1,2.3,2.7,1.6,1.8,3.1,2.8,2.0,2.1,1.5,2.1,1.4
AC000029.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000032.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000035.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000036.1,1.3,0.9,1.9,2.7,0.1,0.0,2.3,0.4,1.4,0.8,1.9,1.4
AC000041.1,4.2,4.6,4.4,4.0,3.2,3.8,2.3,4.3,3.8,-0.2,-0.1,-0.5
AC000041.2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000058.1,1.0,1.2,0.0,-0.1,1.1,1.7,1.9,0.4,0.4,1.8,2.7,2.9
AC000061.1,0.1,-0.3,1.5,-0.1,0.1,0.0,0.3,1.3,0.4,-0.2,-0.1,-0.5
AC000067.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000068.1,5.3,5.3,5.4,5.0,4.9,5.5,4.4,4.5,4.6,4.3,4.5,3.8
AC000068.2,3.4,1.9,2.7,2.4,3.3,3.0,3.1,2.9,2.4,1.4,2.8,3.3
AC000068.3,3.6,2.7,2.2,4.2,4.0,0.0,4.4,4.2,0.4,2.8,4.0,-0.5
AC000077.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000078.1,3.7,3.6,1.9,3.5,3.4,3.9,3.4,2.3,4.2,3.5,1.9,3.0
AC000081.1,0.1,-0.3,1.5,-0.1,0.1,1.1,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000089.1,1.6,1.2,1.6,1.4,1.1,0.0,1.4,2.3,0.4,-0.2,-0.1,0.6
AC000095.1,1.2,0.2,0.7,0.6,1.0,0.2,0.8,0.7,0.4,0.4,0.1,0.4
AC000095.2,3.9,3.2,4.3,2.4,3.5,2.7,2.9,3.1,3.8,3.1,3.1,3.4
AC000099.1,0.1,-0.3,1.7,0.9,1.2,0.0,1.9,2.3,1.4,1.8,-0.1,-0.5
AC000111.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000111.2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000111.3,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000120.1,4.7,4.5,4.8,3.0,4.1,4.0,4.6,3.6,2.9,4.1,4.1,3.9
AC000123.1,2.9,3.3,2.2,3.6,3.6,3.9,3.5,3.7,2.6,3.6,3.4,3.4
AC000123.2,2.6,2.4,2.7,2.4,1.1,2.5,1.3,2.4,2.2,2.2,1.5,2.9
AC000123.3,5.5,5.3,5.7,5.7,5.4,5.2,5.7,5.6,6.1,5.7,5.6,5.5
AC000124.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,-0.5
AC000362.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000367.1,6.4,6.3,6.4,7.1,7.0,7.1,6.6,6.5,6.6,6.9,7.0,6.8
AC000372.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000374.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC000403.1,6.5,6.2,5.6,3.3,5.8,5.9,2.4,3.4,2.5,3.0,2.8,6.6
AC001226.1,3.7,2.2,2.2,3.9,4.1,4.3,2.8,3.1,2.0,4.0,3.1,3.4
AC002044.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,-0.5
AC002044.2,2.8,2.2,1.9,4.0,4.0,2.7,3.3,2.9,2.7,3.0,3.8,3.0
AC002044.3,1.6,-0.3,1.9,3.4,0.1,2.7,2.4,2.3,2.0,2.5,2.0,1.9
AC002056.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,1.4,0.4,0.8,-0.1,-0.5
AC002056.2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002059.1,2.9,1.6,3.3,2.6,3.1,2.5,0.3,1.3,2.0,1.4,1.5,1.6
AC002064.1,0.1,0.6,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,1.2
AC002064.2,2.3,2.6,1.9,4.3,4.3,4.5,4.2,4.3,4.0,5.1,5.7,5.4
AC002064.3,1.0,2.6,0.0,2.2,2.9,1.7,1.9,1.9,0.4,0.8,-0.1,1.2
AC002066.1,1.5,2.8,0.0,3.2,1.6,0.9,0.4,1.2,0.4,0.6,-0.1,0.4
AC002066.2,1.9,1.4,2.8,-0.1,2.5,2.4,0.3,0.4,0.4,-0.2,2.7,-0.5
AC002069.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002069.2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002070.1,0.1,-0.3,0.0,3.8,4.0,0.0,0.3,0.4,0.4,-0.2,-0.1,3.0
AC002075.1,4.5,4.8,4.4,4.2,4.7,4.3,4.5,4.6,4.7,4.8,4.5,5.1
AC002075.2,2.0,1.9,0.0,2.2,2.4,1.9,2.5,1.9,1.4,3.1,2.2,1.2
AC002076.1,2.4,3.4,3.2,3.0,3.2,2.8,2.8,2.9,3.7,2.4,3.3,3.4
AC002076.2,0.1,-0.3,0.0,-0.1,1.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002090.1,0.1,0.7,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002091.1,1.6,0.7,0.0,1.4,1.1,0.0,1.3,2.6,2.4,1.4,-0.1,0.5
AC002091.2,2.0,1.6,1.9,1.4,2.1,1.1,2.6,2.3,2.4,0.8,0.9,1.6
AC002094.1,4.7,4.0,4.6,3.7,4.1,3.5,4.3,0.9,2.9,1.9,3.0,3.6
AC002094.2,4.5,2.3,3.0,4.7,4.7,3.2,2.5,2.7,4.3,2.5,1.4,3.6
AC002094.3,1.3,0.2,0.4,0.8,0.6,1.4,0.6,0.6,1.2,0.9,0.4,0.0
AC002094.4,1.0,-0.3,0.0,0.9,0.1,0.0,0.3,1.3,0.4,0.8,-0.1,1.2
AC002094.5,3.4,2.7,2.9,3.2,3.3,3.1,3.4,2.7,2.0,2.9,1.1,2.5
AC002101.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002115.1,0.1,-0.3,0.0,0.9,0.1,0.0,0.3,1.3,1.4,-0.2,-0.1,-0.5
AC002115.2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002116.1,1.8,1.9,1.6,2.1,2.1,1.1,2.8,2.3,2.1,1.1,1.4,1.6
AC002116.2,5.0,5.2,5.0,4.8,5.4,5.2,4.8,4.3,4.8,5.2,4.0,4.3
AC002127.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002127.2,2.6,1.6,2.2,0.9,1.1,0.0,0.3,1.3,2.0,1.8,1.5,1.5
AC002128.1,5.3,4.4,5.2,5.4,4.8,4.7,5.7,4.8,4.9,5.1,5.4,5.3
AC002128.2,4.6,4.2,4.3,4.5,4.9,5.2,4.7,3.1,4.1,4.7,4.2,4.6
AC002306.1,3.2,3.2,4.0,2.7,3.0,3.1,2.7,3.7,1.5,2.1,3.0,3.4
AC002310.1,5.8,6.3,6.0,5.9,6.1,6.1,6.0,6.0,5.9,6.4,6.1,6.3
AC002310.2,3.4,4.3,3.3,3.9,4.0,4.0,4.0,3.6,3.5,4.5,4.3,3.8
AC002310.3,1.6,2.2,1.5,1.5,2.4,2.7,2.6,2.9,2.4,3.0,2.3,1.6
AC002310.4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AC002310.5,2.6,1.9,2.4,2.9,3.2,2.9,3.8,3.5,3.6,2.7,2.6,3.5
AC002310.6,6.7,6.6,6.8,6.9,6.8,6.8,6.4,6.6,6.7,6.9,6.8,6.6
AC002347.1,0.1,-0.3,0.0,-0.1,0.1,0.0,1.9,0.4,1.4,0.8,0.9,-0.5
AC002347.2,2.0,2.4,3.2,2.2,3.1,2.2,3.1,2.3,3.0,3.2,2.0,2.7
AC002350.1,2.8,2.6,3.1,2.2,2.7,2.9,2.7,2.3,2.4,1.8,1.5,2.5
AC002350.2,5.8,5.6,6.1,6.7,6.6,7.2,5.7,5.9,6.2,6.0,6.0,6.4
