GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
JARID2,10.6,10.7,10.6,10.8,10.6,10.6,11.1,10.9,10.9,11.0,11.0,11.0
JARID2-AS1,2.8,3.5,3.5,4.2,2.6,3.6,3.6,4.3,4.1,4.2,4.2,4.2
JAZF1,5.8,6.1,6.2,6.2,6.1,5.9,5.9,6.2,5.9,6.3,6.1,6.1
JAZF1-AS1,1.6,1.7,2.8,1.9,1.8,1.1,2.3,2.4,3.9,2.1,2.0,0.8
JCAD,2.3,2.5,2.2,1.3,2.3,1.2,1.1,2.0,2.3,3.9,1.6,4.7
JCHAIN,0.9,-0.3,0.7,1.3,3.5,1.9,2.0,0.4,1.6,0.9,2.2,2.1
JDP2,9.8,9.9,9.9,9.2,9.2,9.4,10.0,10.2,10.2,9.4,9.7,9.5
JHDM1D-AS1,8.4,8.2,8.1,8.2,8.3,8.4,8.1,8.2,8.4,8.4,8.5,8.5
JKAMP,11.4,11.5,11.6,11.3,11.5,11.5,11.3,11.3,11.4,11.2,11.3,11.2
JKAMPP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
JMJD1C,11.8,11.8,11.7,11.9,12.0,12.0,12.2,12.4,12.5,12.2,12.3,12.4
JMJD1C-AS1,6.1,6.4,6.0,5.9,5.8,5.9,6.2,6.3,6.3,5.9,6.0,6.0
JMJD4,10.9,10.9,10.8,10.8,10.8,10.8,10.8,10.8,10.7,10.6,10.7,10.7
JMJD6,9.8,9.7,9.8,9.7,9.7,9.7,9.2,9.3,9.2,9.5,9.3,9.4
JMJD7,8.0,8.1,8.2,8.3,8.3,8.3,8.2,8.1,8.5,8.5,8.5,8.3
JMJD7-PLA2G4B,6.9,7.2,7.1,7.7,7.4,7.8,7.3,7.5,7.5,7.8,7.6,7.3
JMJD8,10.9,10.9,11.0,11.0,10.4,10.1,10.6,10.5,10.3,10.6,10.4,10.2
JMY,9.5,9.5,9.4,9.4,9.6,9.7,10.5,10.6,10.7,10.9,10.9,10.9
JOSD1,10.7,10.3,10.3,10.2,10.0,10.5,10.6,10.1,10.1,10.1,10.1,10.6
JOSD2,7.7,7.8,7.7,7.8,7.9,7.9,7.5,7.6,7.7,7.7,7.4,7.5
